Время	ТМИ
440.626	61.607147
440.636	62.815487
440.645	61.849064
440.655	62.815487
440.666	61.849064
440.675	62.574066
440.685	62.090855
440.696	62.332523
440.705	62.815487
440.715	62.815487
440.726	62.332523
440.735	62.574066
440.745	62.574066
440.756	62.815487
440.765	61.849064
440.775	62.815487
440.786	61.607147
440.796	62.574066
440.805	61.607147
440.816	62.815487
440.826	62.815487
440.835	62.815487
440.846	61.607147
440.856	62.574066
440.865	62.090855
440.876	62.815487
440.886	61.849064
440.895	62.815487
440.905	61.607147
440.916	62.574066
440.925	61.607147
440.935	62.815487
440.946	62.815487
440.955	62.815487
440.965	62.574066
440.976	62.815487
440.985	61.607147
440.995	62.815487
441.006	62.332523
441.015	62.815487
441.025	62.574066
441.036	62.332523
441.046	62.574066
441.055	61.849064
441.066	61.849064
441.076	62.332523
441.085	62.815487
441.096	62.815487
441.106	61.607147
441.115	62.815487
441.126	62.332523
441.136	62.815487
441.145	62.332523
441.155	62.090855
441.166	62.574066
441.175	62.815487
441.185	62.815487
441.196	62.574066
441.205	62.815487
441.215	62.090855
441.226	62.574066
441.235	61.849064
441.245	62.815487
441.256	62.574066
441.265	62.574066
441.275	62.574066
441.286	62.574066
441.296	62.332523
441.305	62.815487
441.316	61.607147
441.326	62.574066
441.335	62.574066
441.346	62.090855
441.356	62.815487
441.365	62.815487
441.376	62.090855
441.386	62.090855
441.395	62.815487
441.405	62.574066
441.416	62.815487
441.425	62.815487
441.435	62.090855
441.446	62.574066
441.455	62.574066
441.465	62.090855
441.476	62.815487
441.485	62.332523
441.495	62.574066
441.506	61.607147
441.515	62.574066
441.525	61.607147
441.536	62.815487
441.546	62.815487
441.555	62.574066
441.566	62.815487
441.576	62.574066
441.585	61.607147
441.596	62.815487
441.606	61.849064
441.615	62.574066
441.626	61.849064
441.636	62.574066
441.645	61.607147
441.655	62.815487
441.666	62.815487
441.675	62.574066
441.685	61.849064
441.696	62.574066
441.705	62.090855
441.715	62.815487
441.726	62.815487
441.735	62.574066
441.745	62.090855
441.756	62.090855
441.765	62.090855
441.775	62.815487
441.786	62.815487
441.796	62.574066
441.805	62.090855
441.816	62.574066
441.826	61.607147
441.835	61.849064
441.846	62.815487
441.856	62.090855
441.865	62.574066
441.876	62.574066
441.886	62.574066
441.895	61.849064
441.905	62.815487
441.916	62.090855
441.925	62.574066
441.935	61.607147
441.946	62.574066
441.955	62.815487
441.965	62.815487
441.976	61.607147
441.985	62.574066
441.995	61.607147
442.006	62.574066
442.015	62.815487
442.025	62.815487
442.036	61.607147
442.046	62.574066
442.055	61.849064
442.066	62.574066
442.076	61.849064
442.085	62.815487
442.096	62.090855
442.106	62.815487
442.115	62.332523
442.126	62.574066
442.136	62.332523
442.145	61.849064
442.155	62.574066
442.166	61.849064
442.175	62.574066
442.185	62.574066
442.196	62.815487
442.205	61.849064
442.215	62.574066
442.226	61.849064
442.235	62.574066
442.245	62.090855
442.256	62.815487
442.265	61.849064
442.275	62.574066
442.286	61.607147
442.296	62.574066
442.305	61.607147
442.316	62.815487
442.326	62.332523
442.335	62.574066
442.346	62.574066
442.356	61.607147
442.365	62.574066
442.376	62.332523
442.386	62.332523
442.395	62.574066
442.405	61.607147
442.416	62.574066
442.425	62.574066
442.435	62.332523
442.446	62.332523
442.455	62.574066
442.465	62.090855
442.476	62.574066
442.485	61.607147
442.495	62.815487
442.506	62.332523
442.515	62.574066
442.525	62.574066
442.536	62.574066
442.546	61.607147
442.555	62.815487
442.566	62.815487
442.576	62.090855
442.585	62.815487
442.596	62.090855
442.606	62.574066
442.615	62.332523
442.626	62.332523
442.636	62.574066
442.645	62.815487
442.655	62.574066
442.666	62.090855
442.675	61.849064
442.685	62.815487
442.696	62.574066
442.705	62.332523
442.715	62.574066
442.726	62.574066
442.735	61.849064
442.745	62.815487
442.756	62.090855
442.765	62.574066
442.775	61.607147
442.786	62.574066
442.796	62.815487
442.805	61.849064
442.816	62.574066
442.826	62.574066
442.835	62.090855
442.846	62.574066
442.856	62.815487
442.865	62.815487
442.876	62.574066
442.886	62.574066
442.895	62.574066
442.905	62.574066
